ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2014-9101,"Multiple cross-site request forgery (CSRF) vulnerabilities in Oxwall 1.7.0 (build 7907 and 7906) and SkaDate Lite 2.0 (build 7651) allow remote attackers to hijack the authentication of administrators for requests that conduct cross-site scripting (XSS) attacks or possibly have other unspecified impact via the (1) label parameter to admin/users/roles/, (2) lang[1][base][questions_account_type_5615100a931845eca8da20cfdf7327e0] in an AddAccountType action or (3) qst_name parameter in an addQuestion action to admin/questions/ajax-responder/, or (4) form_name or (5) restrictedUsername parameter to admin/restricted-usernames.",Oxwall |n SkaDate Lite,1.7.0 (build 7907 and 7906) |n 2.0 (build 7651),Multiple cross-site request forgery (CSRF) vulnerabilities,,,remote attackers,label parameter to admin/users/roles/ |n lang[1][base][questions_account_type_5615100a931845eca8da20cfdf7327e0] in an AddAccountType action |n qst_name parameter in an addQuestion action to admin/questions/ajax-responder/ |n form_name |n restrictedUsername parameter to admin/restricted-usernames,hijack the authentication of administrators for requests that conduct cross-site scripting (XSS) attacks or possibly have other unspecified impact
CVE-2014-2948,SQL injection vulnerability in workflowenginesoa.asmx in Bizagi BPM Suite through 10.4 allows remote authenticated users to execute arbitrary SQL commands via a crafted SOAP request.,Bizagi BPM Suite,through 10.4,SQL injection vulnerability,,workflowenginesoa.asmx,remote authenticated users,a crafted SOAP request,execute arbitrary SQL commands
CVE-2014-10077,Hash#slice in lib/i18n/core_ext/hash.rb in the i18n gem before 0.8.0 for Ruby allows remote attackers to cause a denial of service (application crash) via a call in a situation where :some_key is present in keep_keys but not present in the hash.,i18n gem |n Ruby,0.8.0,,,Hash#slice in lib/i18n/core_ext/hash.rb,remote attackers,a call in a situation where :some_key is present in keep_keys but not present in the hash,cause a denial of service (application crash)
CVE-2014-4806,"The installation process in IBM Security AppScan Enterprise 8.x before 8.6.0.2 iFix 003, 8.7.x before 8.7.0.1 iFix 003, 8.8.x before 8.8.0.1 iFix 002, and 9.0.x before 9.0.0.1 iFix 001 on Linux places a cleartext password in a temporary file, which allows local users to obtain sensitive information by reading this file.",IBM Security AppScan Enterprise |n Linux,8.x before 8.6.0.2 iFix 003 |n 8.7.x before 8.7.0.1 iFix 003 |n 8.8.x before 8.8.0.1 iFix 002 |n 9.0.x before 9.0.0.1 iFix 001,,places a cleartext password in a temporary file,installation process,local users,reading this file,obtain sensitive information
CVE-2014-6446,"The Infusionsoft Gravity Forms plugin 1.5.3 through 1.5.10 for WordPress does not properly restrict access, which allows remote attackers to upload arbitrary files and execute arbitrary PHP code via a request to utilities/code_generator.php.",Infusionsoft Gravity Forms plugin,1.5.3 through 1.5.10 for WordPress,,does not properly restrict access,,remote attackers,a request to utilities/code_generator.php,upload arbitrary files and execute arbitrary PHP code
CVE-2014-2631,"Unspecified vulnerability in HP Application Lifecycle Management (aka Quality Center) 11.5x and 12.0x allows local users to gain privileges via unknown vectors, aka ZDI-CAN-2138.",HP Application Lifecycle Management |n Quality Center,11.5x and 12.0x,,,,local users,unknown vectors,gain privileges
CVE-2014-0993,Buffer overflow in the Vcl.Graphics.TPicture.Bitmap implementation in the Visual Component Library (VCL) in Embarcadero Delphi XE6 20.0.15596.9843 and C++ Builder XE6 20.0.15596.9843 allows remote attackers to execute arbitrary code via a crafted BMP file.,Embarcadero Delphi XE6 |n C++ Builder XE6,20.0.15596.9843 |n 20.0.15596.9843,Buffer overflow,,Vcl.Graphics.TPicture.Bitmap implementation in the Visual Component Library (VCL),remote attackers,a crafted BMP file,execute arbitrary code
CVE-2014-7036,"The Quest Federal CU Mobile (aka com.metova.cuae.questfcu) application 1.0.27 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Quest Federal CU Mobile |n com.metova.cuae.questfcu |n Android,1.0.27,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-6393,"The Express web framework before 3.11 and 4.x before 4.5 for Node.js does not provide a charset field in HTTP Content-Type headers in 400 level responses, which might allow remote attackers to conduct cross-site scripting (XSS) attacks via characters in a non-standard encoding.",Express web framework |n Node.js,before 3.11 and 4.x,,does not provide a charset field in HTTP Content-Type headers in 400 level responses,,remote attackers,characters in a non-standard encoding,conduct cross-site scripting (XSS) attacks
CVE-2014-5669,"The 9GAG - Funny pics and videos (aka com.ninegag.android.app) application 2.4.10 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",9GAG - Funny pics and videos |n com.ninegag.android.app |n Android,2.4.10,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-2503,"The thumbnail proxy server in EMC Documentum Digital Asset Manager (DAM) 6.5 SP3, 6.5 SP4, 6.5 SP5, and 6.5 SP6 before P13 allows remote attackers to conduct Documentum Query Language (DQL) injection attacks and bypass intended restrictions on querying objects via a crafted parameter in a query string.",EMC Documentum Digital Asset Manager |n DAM,6.5 SP3 |n 6.5 SP4 |n 6.5 SP5 |n 6.5 SP6 before P13,,,thumbnail proxy server,remote attackers,a crafted parameter in a query string,conduct Documentum Query Language (DQL) injection attacks and bypass intended restrictions on querying objects
CVE-2014-4816,"Cross-site request forgery (CSRF) vulnerability in the Administrative Console in IBM WebSphere Application Server (WAS) 6.x through 6.1.0.47, 7.0 before 7.0.0.35, 8.0 before 8.0.0.10, and 8.5 before 8.5.5.4 allows remote authenticated users to hijack the authentication of arbitrary users for requests that insert XSS sequences.",IBM WebSphere Application Server |n WAS,6.x through 6.1.0.47 |n 7.0 before 7.0.0.35 |n 8.0 before 8.0.0.10 |n 8.5 before 8.5.5.4,Cross-site request forgery (CSRF) vulnerability,,Administrative Console,remote authenticated users,insert XSS sequences,hijack the authentication of arbitrary users for requests
CVE-2014-8446,"Adobe Reader and Acrobat 10.x before 10.1.13 and 11.x before 11.0.10 on Windows and OS X allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2014-8445, CVE-2014-8447, CVE-2014-8456, CVE-2014-8458, CVE-2014-8459, CVE-2014-8461, and CVE-2014-9158.",Adobe Reader |n Acrobat,10.x before 10.1.13 and 11.x before 11.0.10 on Windows and OS X,,,,,,execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-5772,"The Government Bookstore (aka hksarg.isd.sop.govbookstore) application 1.01 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Government Bookstore |n hksarg.isd.sop.govbookstore |n Android,1.01,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-9701,Cross-site scripting (XSS) vulnerability in MantisBT before 1.2.19 and 1.3.x before 1.3.0-beta.2 allows remote attackers to inject arbitrary web script or HTML via the url parameter to permalink_page.php.,MantisBT,before 1.2.19 |n 1.3.x before 1.3.0-beta.2,Cross-site scripting (XSS) vulnerability,,,remote attackers,the url parameter to permalink_page.php,inject arbitrary web script or HTML
CVE-2014-0358,"Multiple directory traversal vulnerabilities in Xangati XSR before 11 and XNR before 7 allow remote attackers to read arbitrary files via a .. (dot dot) in (1) the file parameter in a getUpgradeStatus action to servlet/MGConfigData, (2) the download parameter in a download action to servlet/MGConfigData, (3) the download parameter in a port_svc action to servlet/MGConfigData, (4) the file parameter in a getfile action to servlet/Installer, or (5) the binfile parameter to servlet/MGConfigData.",Xangati XSR |n XNR,before 11 |n before 7,Multiple directory traversal,,,remote attackers , a .. (dot dot) in the file parameter in a getUpgradeStatus action to servlet/MGConfigData |n the download parameter in a download action to servlet/MGConfigData |n the download parameter in a port_svc action to servlet/MGConfigData |n the file parameter in a getfile action to servlet/Installer |n the binfile parameter to servlet/MGConfigData.,read arbitrary files
CVE-2014-8024,"The API in the Guest Server in Cisco Jabber, when the HTML5 CORS feature is used, allows remote attackers to obtain sensitive information by sniffing the network during an HTTP (1) GET or (2) POST request, aka Bug ID CSCus19789.",Cisco Jabber,,,the HTML5 CORS feature is used,API in the Guest Server,remote attackers,sniffing the network during an HTTP GET or POST request,obtain sensitive information
CVE-2014-5258,Directory traversal vulnerability in showTempFile.php in webEdition CMS before 6.3.9.0 Beta allows remote authenticated users to read arbitrary files via a .. (dot dot) in the file parameter.,webEdition CMS,before 6.3.9.0 Beta,Directory traversal,,showTempFile.php,remote authenticated users,a .. (dot dot) in the file parameter,read arbitrary files
CVE-2014-1340,"WebKit, as used in Apple Safari before 6.1.5 and 7.x before 7.0.5, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than other WebKit CVEs listed in APPLE-SA-2014-06-30-1.",Apple Safari,before 6.1.5 |n 7.x before 7.0.5,,,WebKit,remote attackers,"a crafted web site,",execute arbitrary code or cause a denial of service (memory corruption and application crash)
CVE-2014-6827,"The DK ONLINE Beta (aka com.sgmobile.dkonline) application 1.0.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",DK ONLINE Beta |n com.sgmobile.dkonline |n Android,1.0.2,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-1922,"Absolute path traversal vulnerability in tools/pdfViewer.pl in Koha before 3.8.23, 3.10.x before 3.10.13, 3.12.x before 3.12.10, and 3.14.x before 3.14.3 allows remote attackers to read arbitrary files via unspecified vectors.",Koha,before 3.8.23 |n 3.10.x before 3.10.13 |n 3.12.x before 3.12.10 |n 3.14.x before 3.14.3,Absolute path traversal vulnerability,,tools/pdfViewer.pl,remote attackers,,read arbitrary files
CVE-2014-5509,clipedit in the Clipboard module for Perl allows local users to delete arbitrary files via a symlink attack on /tmp/clipedit$$.,Clipboard module for Perl,,,,clipedit,local users,a symlink attack on /tmp/clipedit$$,delete arbitrary files
CVE-2014-10381,The user-domain-whitelist plugin before 1.5 for WordPress has CSRF.,user-domain-whitelist plugin,1.5 for WordPress,CSRF,,,,,
CVE-2014-0397,"Multiple unspecified vulnerabilities in libXtsol in Oracle Solaris 10 and 11.1 have unspecified impact and attack vectors related to ""Buffer errors.""",Oracle Solaris,10 and 11.1,Multiple unspecified vulnerabilities,,libXtsol,,"related to ""Buffer errors.""",
CVE-2014-7555,"The Apparound BLEND (aka com.apparound.mobile.catalogo) application 4.9.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Apparound BLEND |n com.apparound.mobile.catalogo |n Android,4.9.0,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-1271,"CoreCapture in Apple iOS before 7.1 and Apple TV before 6.1 does not properly validate IOKit API calls, which allows attackers to cause a denial of service (assertion failure and device crash) via a crafted app.",Apple iOS |n Apple TV,before 7.1 |n before 6.1,,does not properly validate IOKit API calls,CoreCapture,attackers,a crafted app,cause a denial of service (assertion failure and device crash)
CVE-2014-3830,Cross-site scripting (XSS) vulnerability in info.php in TomatoCart 1.1.8.6.1 allows remote attackers to inject arbitrary web script or HTML via the faqs_id parameter.,TomatoCart,1.1.8.6.1,Cross-site scripting (XSS) vulnerability,,info.php,remote attackers,the faqs_id parameter,inject arbitrary web script or HTML
CVE-2014-2867,"Unrestricted file upload vulnerability in PaperThin CommonSpot before 7.0.2 and 8.x before 8.0.3 allows remote attackers to execute arbitrary code by uploading a ColdFusion page, and then accessing it via unspecified vectors.",PaperThin CommonSpot,before 7.0.2 |n 8.x before 8.0.3,Unrestricted file upload vulnerability,,,remote attackers,uploading a ColdFusion page,execute arbitrary code
CVE-2014-8158,Multiple stack-based buffer overflows in jpc_qmfb.c in JasPer 1.900.1 and earlier allow remote attackers to cause a denial of service (crash) or possibly execute arbitrary code via a crafted JPEG 2000 image.,JasPer,1.900.1 and earlier,Multiple stack-based buffer overflows,,jpc_qmfb.c,remote attackers,a crafted JPEG 2000 image,cause a denial of service (crash) or possibly execute arbitrary code
CVE-2014-9974,"In all Qualcomm products with Android releases from CAF using the Linux kernel, validation of buffer lengths was missing in Keymaster.",Qualcomm products with Android releases from CAF using the Linux kernel,,,validation of buffer lengths was missing,Keymaster,,,
CVE-2014-8587,"SAPCRYPTOLIB before 5.555.38, SAPSECULIB, and CommonCryptoLib before 8.4.30, as used in SAP NetWeaver AS for ABAP and SAP HANA, allows remote attackers to spoof Digital Signature Algorithm (DSA) signatures via unspecified vectors.",SAPCRYPTOLIB |n SAPSECULIB |n CommonCryptoLib |n SAP NetWeaver AS for ABAP and SAP HANA,before 5.555.38 |n before 8.4.30,,,,remote attackers,,spoof Digital Signature Algorithm (DSA) signatures
CVE-2014-0182,Heap-based buffer overflow in the virtio_load function in hw/virtio/virtio.c in QEMU before 1.7.2 might allow remote attackers to execute arbitrary code via a crafted config length in a savevm image.,QEMU,before 1.7.2,Heap-based buffer overflow,,virtio_load function in hw/virtio/virtio.c,remote attackers,a crafted config length in a savevm image,execute arbitrary code
CVE-2014-4246,Unspecified vulnerability in the Hyperion Analytic Provider Services component in Oracle Hyperion 11.1.2.2 and 11.1.2.3 allows remote authenticated users to affect confidentiality via vectors related to SVP.,Oracle Hyperion,11.1.2.2 and 11.1.2.3,,,Hyperion Analytic Provider Services component,remote authenticated users,vectors related to SVP,affect confidentiality
CVE-2014-6991,"The LiveAuctions.tv (aka air.LiveAndroidMaxx) application 2.005 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",LiveAuctions.tv |n air.LiveAndroidMaxx |n Android,2.005,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0306,"Microsoft Internet Explorer 8 and 9 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability.""",Microsoft Internet Explorer,8 and 9,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site, execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-5241,"The JSONP endpoint in includes/api/ApiFormatJson.php in MediaWiki before 1.19.18, 1.20.x through 1.22.x before 1.22.9, and 1.23.x before 1.23.2 accepts certain long callback values and does not restrict the initial bytes of a JSONP response, which allows remote attackers to conduct cross-site request forgery (CSRF) attacks, and obtain sensitive information, via a crafted OBJECT element with SWF content consistent with a restricted character set.",MediaWiki,before 1.19.18 |n 1.20.x through 1.22.x before 1.22.9 |n 1.23.x before 1.23.2,,accepts certain long callback values and does not restrict the initial bytes of a JSONP response,JSONP endpoint in includes/api/ApiFormatJson.php,remote attackers,a crafted OBJECT element with SWF content consistent with a restricted character set,"conduct cross-site request forgery (CSRF) attacks, and obtain sensitive information"
CVE-2014-6619,"Multiple cross-site scripting (XSS) vulnerabilities in register-exec.php in Restaurant Script (PizzaInn_Project) 1.0.0 allow remote attackers to inject arbitrary web script or HTML via the (1) fname, (2) lname, or (3) login parameter.",Restaurant Script (PizzaInn_Project),1.0.0,Multiple cross-site scripting (XSS) vulnerabilities,,register-exec.php,remote attackers,"the (1) fname, (2) lname, or (3) login parameter",inject arbitrary web script or HTML
CVE-2014-8367,"SQL injection vulnerability in Aruba Networks ClearPass Policy Manager (CPPM) 6.2.x, 6.3.x before 6.3.6, and 6.4.x before 6.4.2 allows remote attackers to execute arbitrary SQL commands via unspecified vectors.",Aruba Networks ClearPass Policy Manager (CPPM),6.2.x |n  6.3.x before 6.3.6 |n 6.4.x before 6.4.2,SQL injection vulnerability,,,remote attackers,,execute arbitrary SQL commands
CVE-2014-0190,The GIF decoder in QtGui in Qt before 5.3 allows remote attackers to cause a denial of service (NULL pointer dereference) via invalid width and height values in a GIF image.,Qt,before 5.3,,,GIF decoder in QtGui,remote attackers,invalid width and height values in a GIF image,cause a denial of service (NULL pointer dereference)
CVE-2014-2879,Multiple cross-site scripting (XSS) vulnerabilities in Dell SonicWALL Email Security 7.4.5 and earlier allow remote authenticated administrators to inject arbitrary web script or HTML via (1) the uploadPatch parameter to the System/Advanced page (settings_advanced.html) or (2) the uploadLicenses parameter in the License management (settings_upload_dlicense.html) page.,Dell SonicWALL Email Security,7.4.5 and earlier,Multiple cross-site scripting (XSS) vulnerabilities,,,remote authenticated administrators,(1) the uploadPatch parameter to the System/Advanced page (settings_advanced.html) or (2) the uploadLicenses parameter in the License management (settings_upload_dlicense.html) page,inject arbitrary web script or HTML
CVE-2014-6317,"Array index error in win32k.sys in the kernel-mode drivers in Microsoft Windows Server 2003 SP2, Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, and Windows RT Gold and 8.1 allows remote attackers to cause a denial of service (reboot) via a crafted TrueType font, aka ""Denial of Service in Windows Kernel Mode Driver Vulnerability.""",Microsoft Windows Server 2003 |n Windows Vista |n Windows Server 2008 |n Windows 7 |n Windows 8 |n Windows 8.1 |n Windows Server 2012 |n Windows RT,SP2 |n SP2 |n SP2 and R2 SP1 |n SP1 |n Gold and R2 |n Gold and 8.1,Denial of Service in Windows Kernel Mode Driver Vulnerability,Array index error,win32k.sys in the kernel-mode drivers,remote attackers,a crafted TrueType font,cause a denial of service (reboot)
CVE-2014-5116,"The cairo_image_surface_get_data function in Cairo 1.10.2, as used in GTK+ and Wireshark, allows context-dependent attackers to cause a denial of service (NULL pointer dereference) via a large string.",Cairo |n GTK+ |n Wireshark,1.10.2,,,cairo_image_surface_get_data function,context-dependent attackers,a large string,cause a denial of service (NULL pointer dereference)
CVE-2014-6529,"Unspecified vulnerability in Oracle Sun Solaris 11 allows remote attackers to affect confidentiality, integrity, and availability via vectors related to Hermon HCA PCIe driver.",Oracle Sun Solaris,11,,,,remote attackers,vectors related to Hermon HCA PCIe driver,"affect confidentiality, integrity, and availability"
CVE-2014-7141,The pinger in Squid 3.x before 3.4.8 allows remote attackers to obtain sensitive information or cause a denial of service (out-of-bounds read and crash) via a crafted type in an (1) ICMP or (2) ICMP6 packet.,Squid,3.x before 3.4.8,,,pinger,remote attackers,a crafted type in an (1) ICMP or (2) ICMP6 packet,obtain sensitive information or cause a denial of service (out-of-bounds read and crash)
CVE-2014-0131,Use-after-free vulnerability in the skb_segment function in net/core/skbuff.c in the Linux kernel through 3.13.6 allows attackers to obtain sensitive information from kernel memory by leveraging the absence of a certain orphaning operation.,Linux kernel,through 3.13.6,Use-after-free vulnerability,,skb_segment function in net/core/skbuff.c,,leveraging the absence of a certain orphaning operation,obtain sensitive information from kernel memory
CVE-2014-4585,Cross-site scripting (XSS) vulnerability in the WP-FaceThumb plugin possibly 1.0 and earlier for WordPress allows remote attackers to inject arbitrary web script or HTML via the ajax_url parameter to index.php.,WP-FaceThumb plugin, 1.0 and earlier for WordPress,Cross-site scripting (XSS) vulnerability,,,remote attackers,the ajax_url parameter to index.php,inject arbitrary web script or HTML
CVE-2014-3771,"TeamPass before 2.1.20 allows remote attackers to bypass access restrictions via the language file path in a (1) request to index.php or (2) ""change_user_language"" request to sources/main.queries.php.",TeamPass,before 2.1.20,,,,remote attackers,"the language file path in a (1) request to index.php or (2) ""change_user_language"" request to sources/main.queries.php",bypass access restrictions
CVE-2014-4932,Cross-site scripting (XSS) vulnerability in the Wordfence Security plugin before 5.1.5 for WordPress allows remote attackers to inject arbitrary web script or HTML via the val parameter to whois.php.,Wordfence Security plugin,before 5.1.5 for WordPress,Cross-site scripting (XSS) vulnerability,,,remote attackers,the val parameter to whois.php,inject arbitrary web script or HTML
CVE-2014-5388,Off-by-one error in the pci_read function in the ACPI PCI hotplug interface (hw/acpi/pcihp.c) in QEMU allows local guest users to obtain sensitive information and have other unspecified impact related to a crafted PCI device that triggers memory corruption.,QEMU,,,Off-by-one error,pci_read function in the ACPI PCI hotplug interface (hw/acpi/pcihp.c),local guest users,,obtain sensitive information and have other unspecified impact related to a crafted PCI device that triggers memory corruption
CVE-2014-6496,"Unspecified vulnerability in Oracle MySQL Server 5.5.39 and earlier, and 5.6.20 and earlier, allows remote attackers to affect availability via vectors related to CLIENT:SSL:yaSSL, a different vulnerability than CVE-2014-6494.",Oracle MySQL Server,5.5.39 and earlier |n 5.6.20 and earlier,,,,remote attackers,vectors related to CLIENT:SSL:yaSSL,affect availability
CVE-2014-9695,The Hyper Module Management (HMM) software of Huawei Tecal E9000 Chassis V100R001C00SPC160 and earlier versions could allow a non-super-domain user who accesses HMM through SNMPv3 to perform operations on a server as a super-domain user.,Huawei Tecal E9000 Chassis,V100R001C00SPC160 and earlier,,,Hyper Module Management (HMM),a non-super-domain user who accesses HMM through SNMPv3,,perform operations on a server as a super-domain user
CVE-2014-3716,"Xen 4.4.x does not properly check alignment, which allows local users to cause a denial of service (crash) via an unspecified field in a DTB header in a 32-bit guest kernel.",Xen,4.4.x,,does not properly check alignment,,local users,an unspecified field in a DTB header in a 32-bit guest kernel,cause a denial of service (crash)
CVE-2014-1769,"Microsoft Internet Explorer 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Internet Explorer Memory Corruption Vulnerability,"" a different vulnerability than CVE-2014-1782, CVE-2014-1785, CVE-2014-2753, CVE-2014-2755, CVE-2014-2760, CVE-2014-2761, CVE-2014-2772, and CVE-2014-2776.",Microsoft Internet Explorer,11,Internet Explorer Memory Corruption Vulnerability,,,remote attackers,a crafted web site,execute arbitrary code or cause a denial of service (memory corruption)
CVE-2014-0954,"IBM WebSphere Portal 6.1.0 through 6.1.0.6 CF27, 6.1.5 through 6.1.5.3 CF27, 7.0 through 7.0.0.2 CF28, and 8.0 before 8.0.0.1 CF12 does not validate JSP includes, which allows remote attackers to obtain sensitive information, bypass intended request-dispatcher access restrictions, or cause a denial of service (memory consumption) via a crafted URL.",IBM WebSphere Portal,6.1.0 through 6.1.0.6 CF27 |n 6.1.5 through 6.1.5.3 CF27 |n 7.0 through 7.0.0.2 CF28 |n 8.0 before 8.0.0.1 CF12,,does not validate JSP includes,,remote attackers,a crafted URL,"obtain sensitive information, bypass intended request-dispatcher access restrictions, or cause a denial of service (memory consumption)"
CVE-2014-8495,"Citrix XenMobile MDX Toolkit before 9.0.4, when used to wrap iOS 8 applications, does not properly encrypt cached application data, which allows context-dependent attackers to obtain sensitive information by reading the cache.",Citrix XenMobile MDX Toolkit,before 9.0.4,,"used to wrap iOS 8 applications, does not properly encrypt cached application data",,context-dependent attackers,reading the cache,obtain sensitive information
CVE-2014-4861,The Remote Desktop Launcher in Thycotic Secret Server before 8.6.000010 does not properly cleanup a temporary file that contains an encrypted password once a session has ended.,Thycotic Secret Server,before 8.6.000010,,does not properly cleanup a temporary file that contains an encrypted password,Remote Desktop Launcher,,,
CVE-2015-5199,Directory traversal vulnerability in dlopen in libvdpau before 1.1.1 allows local users to gain privileges via the VDPAU_DRIVER environment variable.,libvdpau,before 1.1.1,Directory traversal vulnerability,,dlopen,local users,the VDPAU_DRIVER environment variable,gain privileges
CVE-2015-5868,"The kernel in Apple iOS before 9 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5896 and CVE-2015-5903.",Apple iOS,before 9,,,kernel,local users,,gain privileges or cause a denial of service (memory corruption)
CVE-2015-1600,Information disclosure vulnerability in Netatmo Indoor Module firmware 100 and earlier.,Netatmo Indoor Module firmware,100 and earlier,Information disclosure vulnerability,,,,,
CVE-2014-5824,"The longjiang (aka com.longjiang.kr) application 2.0.6 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",longjiang |n com.longjiang.kr |n Android,2.0.6,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-6709,"The TechRadar News (aka com.techradar.news) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",TechRadar News |n com.techradar.news |n Android,1,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-0912,IBM Sterling B2B Integrator 5.1 and 5.2 and Sterling File Gateway 2.1 and 2.2 allow remote attackers to obtain sensitive product information via vectors related to an error page. IBM X-Force ID: 92072.,Sterling B2B Integrator |n Sterling File Gateway,5.1 and 5.2 |n 2.1 and 2.2,,,,remote attackers,vectors related to an error page,obtain sensitive product information
CVE-2014-4216,"Unspecified vulnerability in Oracle Java SE 5.0u65, 6u75, 7u60, and 8u5 allows remote attackers to affect confidentiality, integrity, and availability via unknown vectors related to Hotspot.",Oracle Java SE,5.0u65 |n 6u75 |n 7u60 |n 8u5,,,,remote attackers,unknown vectors related to Hotspot,"affect confidentiality, integrity, and availability"
CVE-2014-4592,Cross-site scripting (XSS) vulnerability in rss.class/scripts/magpie_debug.php in the WP-Planet plugin 0.1 and earlier for WordPress allows remote attackers to inject arbitrary web script or HTML via the url parameter.,WP-Planet plugin,0.1 and earlier for WordPress,Cross-site scripting |n XSS,,rss.class/scripts/magpie_debug.php,remote attackers,the url parameter,inject arbitrary web script or HTML
CVE-2014-6389,backup.php in PHPCompta/NOALYSS before 6.7.2 allows remote attackers to execute arbitrary commands via shell metacharacters in the d parameter.,PHPCompta/NOALYSS,before 6.7.2,,,backup.php,remote attackers,shell metacharacters in the d parameter,execute arbitrary commands
CVE-2014-3330,"Cisco NX-OS 6.1(2)I2(1) on Nexus 9000 switches does not properly process packet-drop policy checks for logged packets, which allows remote attackers to bypass intended access restrictions via a flood of packets matching a policy that contains the log keyword, aka Bug ID CSCuo02489.",Cisco NX-OS |n Nexus,6.1(2)I2(1) |n 9000,,does not properly process packet-drop policy checks for logged packets,,remote attackers,a flood of packets matching a policy that contains the log keyword,bypass intended access restrictions
CVE-2014-6000,"The FreshDirect (aka com.freshdirect.android) application 2.7.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",FreshDirect |n com.freshdirect.android |n Android,2.7.1,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2014-8924,"The server in IBM License Metric Tool 7.2.2 before IF15 and 7.5 before IF24 and Tivoli Asset Discovery for Distributed 7.2.2 before IF15 and 7.5 before IF24 allows remote attackers to read arbitrary files or send TCP requests to intranet servers via XML data containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",IBM License Metric Tool |n Tivoli Asset Discovery for Distributed,7.2.2 before IF15 |n 7.5 before IF24 |n 7.2.2 before IF15 |n 7.5 before IF24,,,server,remote attackers,XML data containing an external entity declaration in conjunction with an entity reference,read arbitrary files or send TCP requests to intranet servers
CVE-2014-7132,"The Jambatan PBB Semporna (aka com.wJAMBATANPBBSEMPORNA) application 13523.82613 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",Jambatan PBB Semporna |n com.wJAMBATANPBBSEMPORNA |n Android,13523.82613,,does not verify X.509 certificates from SSL servers,,man-in-the-middle attackers,a crafted certificate,spoof servers and obtain sensitive information
CVE-2020-9720,"Adobe Acrobat and Reader versions 2020.009.20074 and earlier, 2020.001.30002, 2017.011.30171 and earlier, and 2015.006.30523 and earlier have an out-of-bounds read vulnerability. Successful exploitation could lead to information disclosure.",Adobe Acrobat and Reader,2020.009.20074 and earlier |n 2020.001.30002 |n 2017.011.30171 and earlier |n 2015.006.30523 and earlier,out-of-bounds read vulnerability,,,,,information disclosure
